type,line,original,modern,english,id,title,description
stage,,[surrexit circa placeam,,[he rose (and walked) round the open space. ],,,
line,456,Serys kemerugh in ban,"Syrrys, kemmerewgh yn-bann.","456 Sirs, get you up.",,,
line,457,drog yv gena doys oma,Drog yw gene' dos omma.,I am sorry that I came here.,,,
line,458,a meryasek guas belan,"A Meryasek, gwas bilen,","O Meriasek, villanous fellow,",,,
line,459,dar soposia a reta,dar sopposya a wre'ta,Dost thou suppose,,,
line,460,den rych nefra,den rych nevra,460 That a rich man never,,,
line,461,mones then neff da ny yl,mones dhe'n nev da ny yll?,Can go to the good heaven ?,,,
line,462,me a greys dotyys oys vyl,My a grys dotyes os vil,I believe thou art doting vilely,,,
line,463,ha muscugys rum ena,ha muskegys re'm ena!,"And distracted, by my soul !",,,
blank,,,,,,,
speaker,,MERIADOCUS 464,Meriadocus,MERIASEK.,,,
line,464,An scripctor (scriptor) leferel grua,An skryptor leverel gwra,464 The scripture doth say,,,
line,465,den rych then neff dyogel,"den rych dhe'n nev diogel,","A rich man to the heaven certainly,",,,
line,466,mage fur weyll yv dotha,maga feur hwel yw dhodho,As great a labour is it for him,,,
line,467,moys avel capel gorhel,mos avel kapel gorhel,To go as (for) a ship's cable,,,
line,468,der trov nasweth,der kraw* naswydh.,468 To go through a needle's eye.,,,
line,469,henna gans y destrowhy,Henna gans y dhistrewi,That by destroying it,,,
line,470,a yl boys spedijs defry,a yll bos spedyes devri.,May be sped certainly.,,,
line,471,indellan (indella?) den rych besy,Yndella den rych bysi,"So the rich man [heedfully],",,,
line,472,the vohosogyan guet ry,dhe voghosogyon gwith ri,472 Take care to give to the poor,,,
line,473,in cheryte part ath peth,yn cheryta part a'th pyth.,In charity part of thy wealth.,,,
blank,,,,,,,
speaker,,CONANUS REX 474,Conanus Rex,KING CONAN.,,,
line,474,Farwel ser duk,"Farwel, syrr Dug,","Farewell, Sir Duke,",,,
line,475,re crist am gruk,re Krist a'm gwrug,By Christ who made me,,,
line,476,the vap yv fol,dha vab yw fol.,476 Thy son is mad.,,,
line,477,ganso omgrua,Ganso omwra,By him is caused [that],,,
line,478,ov herth oma,ow herdh omma,My journey here,,,
line,479,galles the col,"gallas dhe goll,","To go [has gone] to loss,",,,
line,480,ham lafuryans,ha'm lavuryans.,480 And my labouring.,,,
line,481,the lee nefra,"Dha lehe nevra,","To lessen thee ever, [The less ever]",,,
line,482,war ov ena,"war ow ena,","On my soul,",,,
line,483,me an car in ov bevnans,my a'n kar yn ow bywnans.     <finit,I shall like it [him] in my life.,,,
stage,,[finit,,,,,
stage,,[tranceat conanus,,[Let Conan pass off. ],,,
blank,,,,,,,
speaker,,PATER 484,Pater,THE FATHER.,,,
line,484,Ov arluth dywy mur grays,"Ow arloedh, dhy'hwi meur ras","484 My lord, much thanks to you",,,
line,485,ov profia dotho dadder,ow provia dhodho dader.,Showing goodness to him.,,,
line,486,ellas ragos ov map rays,"Ellas ragos, ow mab ras!","Alas for thee, my son of grace !",,,
line,487,na vennyth dre onester,Na vynnydh dre onester,[That] Thou wilt not through decency,,,
line,488,bones revlys,bones rewlys.,488 Be ruled.,,,
line,489,yma pensevyk an gluas,Yma pennsevik an wlas,The prince of the country is,,,
line,490,dysplesijs purguir genas,"displesys pur wir genes,","Displeased right truly with thee,",,,
line,491,the days hath vam kekefrys,dha das ha'th vamm keffrys.,Thy father and thy mother likewise.,,,
blank,,,,,,,
speaker,,MERIADOCUS 492,Meriadocus,MERIASEK.,,,
line,492,Kynthogh geneff dysplesijs,"Kynth owgh genev displesys,","492 Though you are displeased with me,",,,
line,493,ythyv ol am anvoth vy,yth yw oll a'm anvodh vy.,It is all against my will.,,,
line,494,trest ambus boys acordys,Trest a'm beus bos akordys,Trust have I that I am in accord,,,
line,495,orth ihesu crist a vercy,orth Yesu Krist a versi.,With Jesus Christ of mercy.,,,
line,496,agys bannothov kefrys,"Agas bennathow keffrys,","496 Your blessings likewise,",,,
line,497,tays ha mam thymmo gruegh ry,"tas ha mamm, dhymmo gwrewgh ri.","Father and mother, give ye to me.",,,
line,498,me a vyn mones uskys,My a vynn mones uskis,I will go straightway,,,
line,499,wath de thesky dadder moy,hwath dhe dhyski dader moy.,Yet to learn more goodness.,,,
line,500,rag kerense an drensis,Rag kerensa an Drynses,500 For love of the Trinity,,,
line,501,na temptyogh vy the foly,na demptyewgh vy dhe foli.,Tempt me not to folly.,,,
blank,,,,,,,
speaker,,PATER 502,Pater,THE FATHER.,,,
line,502,Inter dula du avan,"Ynter diwla Dyw a-vann,","Between the hands of God above,",,,
line,503,ov map gruaff the kemynna,"ow mab, gwrav dha gemmynna.","My son, I do commend [entrust] thee.",,,
line,504,kemer the rovle the honan,Kemmer dha rewl dha honan:,504 Take thine own rule :,,,
line,505,gul nahen me ny alla,gul nahen my ny alla':,Do ought else I cannot :,,,
line,506,ov banneth dis,ow bennath dhis!,My blessing to thee !,,,
stage,,[finit,,,,,
speaker,,MATER 507,Mater,THE MOTHER,,,
line,507,Amen prest ham banneth vy,"Amen prest, ha'm bennath vy.","Amen ever, and my blessing.",,,
line,508,ov map dore (doro) thym the vay,"Ow mab, doro dhymm dha vay!","508 My son, give me thy kiss !",,,
line,509,morethek assoff defry,Moredhek ass ov devri,Said [How sad] am I indeed,,,
line,510,ov tyberth sur the orthys (dheworthys),ow tiberth sur dhiworthis.,At parting surely from thee.,,,
stage,,[finit,,,,,
stage,,[her meriasek weryth a prest ys govn,,[Here Meriasek wears a priest's gown. ],,,
stage,,Hic episcopus kernov hic pompabit,Hic episcopus Kernov hic pompabit.,"[Here the Bishop of Kernou, shall parade. ]",,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOV 511,,BISHOP OF KERNOU,,,
line,511,Me yv escop in breten,My yw epskop yn Breten,I am bishop in Brittany,,,
line,512,in conteth gelwys kernov,yn konteth gelwys Kernow.,512 In a county called Kernou.,,,
line,513,mur yv ov rays pup termen,Meur yw ow ras pub termyn:,Great is my grace always :,,,
line,514,cowethe thym yv tanov,kowetha dhymm yw tanow,Comrades are few to me,,,
line,515,parlet mar stovt,"parlet mar stout,","A prelate so proud,",,,
line,516,prence war an vebyen lyen,pryns war an vebyon lyenn.,516 A prince over the sons of reading.,,,
line,517,nynsus in breten vyen,Nyns eus yn Breten Vyghan,There are not in little Britain,,,
line,518,ov parov purguir heb dovt,ow farow pur wir heb dout.,My peers right truly without doubt.,,,
blank,,,,,,,
speaker,,MERIADOCUS 519,Meriadocus,MERIASEK.,,,
line,519,Ser epscop thyugh lowena,"Syrr Epskop, dhywgh lowena!","Sir Bishop, joy to you !",,,
line,520,agis pesy y fanna,Agas pysi y fynna',520 You I will beseech,,,
line,521,a ry dymmo vy ordys,a ri dhymmo vy ordys.,To give me orders.,,,
line,522,pronter boys me a garsa,"Pronter bos my a garsa,","A priest I should like to be,",,,
line,523,corff ihesu thy venystra,korf Yesu dh'y venystra,Jesu's body to administer it,,,
line,524,mar myn ov descans servya,mar mynn ow dyskans servya,524 If my learning will serve,,,
line,525,genogh pan ven apposijs,genowgh pan ven apposyes.,By you when I may be appointed.,,,
stage,,[descendit episcopus kernov in placeam,,[The Bishop of Kernou goes down into the open space. ],,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOV 526,Episcopus Kernov,THE BISHOP OF KERNOU.,,,
line,526,Wolcum oma meryasek,"Wolkomm omma, Meryasek,","Welcome here, Meriasek,",,,
line,527,me re glowes ov map wek,"my re glywas, ow mab hweg,","I have heard, my sweet son,",,,
line,528,ahanes covs mur thadder 529,ahanas kows meur dhader.,528 Of thee much good spoken.,,,
line,529,ry dys ordys me a vyn,Ri dhis ordys my a vynn.,Give thee orders I will,,,
line,530,in hanov ihesu lemys (lemyn),Yn Hanow Yesu lemmyn,In Jesu's name now,,,
line,531,sacrys gena betheth suer,sakrys gene' bydhydh sur.,Consecrated by me thou wilt be surely.,,,
stage,,[genuflectit,,[He kneels. ],,,
blank,,,,,,,
line,532,cryst roy dis in pup termyn,Krist roy dhis yn pub termyn,532 May Christ grant to thee alway,,,
line,533,omguythe prest in glander,omwitha prest yn glander!,To keep thyself ever in purity !,,,
blank,,,,,,,
speaker,,CECUS 534,Cecus,A BLIND MAN.,,,
line,534,Banneth du genogh tus vays,"Bennath Dyw genowgh, tus 'vas!","God's blessing (be) with you, good folk !",,,
line,535,me yv dal na yl guelays,My yw dall na yll gweles.,I am a blind man who cannot see.,,,
line,536,regh dym agis alusyon,Rewgh dhymm agas alusyon!,536 Give me your alms !,,,
line,537,ha ragogh y raff pesy,Ha ragowgh y hwrav pysi,And for you I will pray,,,
line,538,the crist ihesu a vercy,"dhe Krist Yesu a versi,","To Christ Jesu of mercy,",,,
line,539,selwadour an crustunyon,Selwador an Gristonyon.,The Saviour of the Christians.,,,
blank,,,,,,,
speaker,,KALUS { claudus?} 540,Kalus,A CRIPPLE.,,,
line,540,Me yv inweth efrethek,"My yw ynwedh evredhek,","540 I am also maimed,",,,
line,541,am esely podrethek,am eseli podrethek,[In] My limbs rotten,,,
line,542,gyllys in gron,gyllys yn gronn.,Become in a heap. [I have become as a globe],,,
line,543,schanlour (scant-lor) y halla kerthes,Skant lowr y halla' kerdhes.,Scarce enough can I walk.,,,
line,544,me a pysse kynweres,My a pyssa kynweres,544 I would beseech a common cure,,,
line,545,the orthugh (dheworthugh) a luen golon,dhiworthowgh a leun golonn.,From you with a full heart.,,,
blank,,,,,,,
speaker,,MERIADOCUS 546,Meriadocus,MERIASEK.,,,
,,,,[He kneels. ],,,
line,546,Ihesu arluth me ath peys,"Yesu Arloedh, my a'th pys,","Lord Jesu, I beseech thee,",,,
line,547,gueres an den ma yv dal,gweres an den ma yw dall!,Cure this man who is blind !,,,
line,548,ihesu crist mytern glorijs,"Yesu Krist, Myghtern glorius,","548 Jesu Christ, glorious King,",,,
line,549,roy y syght dotho heb fal,roy y syght dhodho heb fall!,Give his sight to him without fail !,,,
line,550,ihesu arluth luen a rays,"Yesu Arloedh, leun a ras,","Lord Jesu, full of grace,",,,
line,551,inweth sav an den arall,ynwedh saw an den arall.,Heal the other man likewise.,,,
line,552,ihesu arluth map guirhays,"Yesu Arloedh, Mab Gwyrghes,","552 Lord Jesu, son of a virgin,",,,
line,553,dyswe the gallus ryall,diskwa dha alloes ryal,Display thy royal power,,,
line,554,lemen oma,lemmyn omma.,Now here.,,,
line,555,in nomine patris et filij,In nomine Patris et Filii.,In nomine Patris et Filii.,,,
line,556,virtu crist rebo yly,"Vertu Krist re bo eli,","556 May Christ's virtue be a salve,",,,
line,557,a dus gvan dyugh in torma,A dus gwann dhywgh y'n tor' ma!,"O weak folk, to you this turn !",,,
blank,,,,,,,
speaker,,CECUS 558,Cecus,THE BLIND MAN.,,,
line,558,Cryst ihesu dys ren tala,Krist Yesu dhis re'n tala!,Christ Jesu repay it to thee !,,,
line,559,me a weyl lemen inta,My a wel lemmyn yn ta.,I see now well,,,
line,560,benyges the piiadow (peyadov),Bennigys dha bysadow,560 That thy prayer blessed,,,
line,561,me a wor bones oma,"my a woer bones omma,","Is here, I know,",,,
line,562,ha glorijs prest the geryov,ha gloryes prest dha eryow!,And glorious ever thy words !,,,
blank,,,,,,,
speaker,,KALUS 563,Kalus,THE CRIPPLE.,,,
line,563,Ha me yv sawys purdek,"Ha my yw sawys pur dheg,","And I am healed right well,",,,
line,564,neb a fue sur efrethek,"neb a veu sur evredhek,",564 (I) who was surely maimed.,,,
line,565,lues blethen in bysma,lies blydhen y'n bys ma.,Many years in this world[.],,,
line,566,galer numbus,"Galar ny'm* beus,",Sickness I had [Sorrow I have not],,,
line,567,grays the ihesus,gras dhe Yesus,Thanks to Jesus,,,
line,568,ha then denma,ha dhe'n den ma!,568 And to this man !,,,
stage,,[finit,,,,,
stage,,[tranceat in placeam,,,,,
speaker,,EPISCOPUS KERNOV 569,Episcopus Kernov,BISHOP OF KERNOU.,,,
line,569,Meryasek dyso reuerans,"Meryasek, dhiso revrons!","Meriasek, reverence to thee !",,,
line,570,keris gans du a seluans,Kerys gans Dyw a selwyans,Loved by God of salvation,,,
line,571,gon guir lemen the vota,gonn gwir lemmyn dha vo'ta.,I know truly now that thou art,,,
line,572,me ath peys trych genevy,"My a'th pys, tryg genev vy,","571 I pray thee dwell with me,",,,
line,573,ha sur nefre thysogy,ha sur nevra dhiso jy,And thee surely never,,,
line,574,me ny falla,my ny falla'.,Will I fail.,,,
blank,,,,,,,
speaker,,MERIADOCUS 575,Meriadocus,MERIASEK.,,,
line,575,Ser epscop dywy mur grays,"Syrr Epskop, dhy'hwi meur gras","Sir Bishop, to you much thanks",,,
line,576,lafurya sur the ken gluas,lavurya sur dhe gen wlas,576 To go onward surely to another country,,,
line,577,avesijs off alemma,avisyes ov alemma.,I am advised hence.,,,
line,578,banneth genogh oll an sens,Bennath genowgh oll an sens,The blessing of all the saints,,,
line,579,han sansesov myns del ens,ha'n sansesow myns dell yns,And the saintesses as many as there are [were],,,
line,580,hagis compny ben[itha],ha'gas kompani bynytha!,580 With you and your company ever !,,,
blank,,,,,,,
speaker,,CROCIFER EPISCOPI KERNOV 581,Crocifer Episcopi Kernov,THE BISHOP OF KERNOU'S CROZIER-BEARER.,,,
line,581,Banneth du thys meryasek,"Bennath Dyw dhis, Meryasek!","God's blessing to thee, Meriasek !",,,
line,582,ny a vya lowenek,Ni a via lowenek,We should be glad,,,
line,583,a mynnes oma tre[ga],a mynnes omma tryga.,If thou wouldst stay here.,,,
line,584,erbyn the voth,Erbynn dha vodh,584 Against thy will,,,
line,585,thynny ny goth,"dhyn ni ny goedh,","It behoves us not,",,,
line,586,sur the lettya,sur dha lettya.,"Surely, to hinder thee.",,,
stage,,[ascendit episcopus kernov,,"[The Bishop of Kernou, goes up. ]",,,
blank,,,,,,,
blank,,,,,,,
speaker,,MERIADOCUS 587,Meriadocus,MERIASEK.,,,
line,587,Marners dorsona dywy,"Marners, dursoenno dhy'hwi!","Mariners, a blessing to you !",,,
line,588,the kernov mar segh defry,Dhe Gernow mars ewgh devri,588 To Cornwall if you are going now [certainly],,,
line,589,mones genogh y carsen,mones genowgh y karsen.,I should like to go with you.,,,
line,590,the ry nammur me numbus,"Dhe ri nameur my ny'm beus,","To give I have not much,",,,
line,591,sav me a beys crist ihesus,saw my a bys Krist Yesus,But I will beseech Christ Jesus,,,
line,592,thagys socra pup termen,dh'agas sokra pub termyn.,59a To succour you always.,,,
blank,,,,,,,
speaker,,NAVTA 593,Navta,THE SAILOR.,,,
line,593,Wolcum oys genen dremas,"Wolkomm os genen, dremas.","Welcome art thou with us, honest man.",,,
line,594,ny ath wor the pen an gluas,"Ni a'th worr dhe Benn an Wlas,","We will put thee to the end of the country,",,,
line,595,dre voth du kyn pen sythen,"dre vodh Dyw, kyn penn seythun.","Through God's will, before a week's end.",,,
stage,,[ascendit in navim,,[He goes up into the ship. ],,,
line,596,dus aberveth oma scon,Deus a-bervedh omma skon,596 Come thou in here at once ;,,,
line,597,hav marners tennogh dyson,"ha'w marners, tennewgh dison","And, my mariners, quickly haul",,,
line,598,an goyl thym in ban lemen,an goel dhymm yn-bann lemmyn!,The sail up for me now !,,,
blank,,,,,,,
speaker,,SERVUS NAVTE 599,Servus Navte,THE SAILOR'S SERVANT.,,,
line,599,At eve fast bys in top,Ottava fast bys y'n topp.,Lo it is quite up to the top.,,,
line,600,nov mata make fast the rop,"Now mata, make fast the rop.","600 Now mate, make the rope fast.",,,
line,601,yma an gvyns ov wetha,"Yma an gwyns ow hwytha,","The wind is blowing,",,,
line,602,han mor ov terevel fol,ha'n mor ow trehevel fol.,And the sea rising madly.,,,
line,603,me a greys kellys on ol,My a grys kellys on oll,I believe we are all lost,,,
line,604,ha buthys pur guir oma,ha beudhys pur wir omma.,604 And drowned right truly here.,,,
blank,,,,,,,
speaker,,[NAV]TA 605,Navta,THE SAILOR.,,,
line,605,A gony pan vuen genys,A go-ni pan ven genys!,Ah woe is us that we were born !,,,
line,606,warbarth ny a veth kellys,Warbarth ni a vydh kellys!,Together we shall be lost !,,,
line,607,ens pup the ʒeys thy gela,Ens pub dhe yes dh'y gila.,Let every one go to confess to his fellow.,,,
line,608,nynsus oma forth nahen,Nyns eus omma forth nahen.,608 Here there is no other way.,,,
line,609,ahanan ny vev vn den,Ahanan ny vyw unn den.,Of us not one man will live.,,,
line,610,tru gony doys then pletma,"Tru, go-ni, dos dhe'n plit ma!","Sad, woe is us, to come to this plight !",,,
blank,,,,,,,
speaker,,MEREADOCUS 611,Meriadocus,MERIASEK.,,,
line,611,A bethugh a cofort da,A bedhewgh a gonfort da!,O be ye of good comfort !,,,
line,612,crist agen gueres a ra,"Krist agan gweres a wra,","612 Christ will save [help] us,",,,
line,613,ha me a vyn y pesy,"ha my a vynn y bysi,","And I will beseech him,",,,
line,614,mar pe y voth indella,mar pe y vodh yndella,If his will be thus,,,
blank,,,,,,,
line,615,na rella den peryllya,na wrella den peryllya,That no one shall be in danger,,,
line,616,in tyr na mor in bysma,yn tir na mor y'n bys ma,616 On land nor sea in this world,,,
line,617,mar creya war crist ha my,mar kria war Krist ha my.,If he cry on Christ and me.,,,
blank,,,,,,,
speaker,,NAVTA 618,Navta,THE SAILOR.,,,
line,618,Meryasek gorthys reby,"Meryasek, gordhys re bi!","Meriasek, worshipped be thou !",,,
line,619,drethos ol sawys on ny,Dredhos oll sawys on ni,Through thee we all are saved,,,
line,620,a peryl sur in torma,a beryll sur y'n tor' ma.,620 From peril surely this turn.,,,
line,621,kegy in tyr a dremas,"Ke jy yn tir, A dhremas,","Go thou on land, O honest man !",,,
line,622,in kernov the ihesu gras,"Yn Kernow; dhe Yesu gras,","In Cornwall, thanks to Jesu,",,,
line,623,theth desyr ty re dufa,dhe'th tesir ty re dheuva.,According to thy desire thou hast come.,,,
stage,,[descendit in cornubia,,[He lands in Cornwall. ],,,
blank,,,,,,,
speaker,,MEREADOCUS 624,Meriadocus,MERIASEK.,,,
line,624,The ihesu rebo grasseys,Dhe Yesu re bo grassyes!,614 To Jesu be thanks !,,,
line,625,the pov astrange devethys,Dhe bow astranj devedhys,To a strange country come,,,
line,626,me yv oma,my yw omma.,Am I here.,,,
line,627,kerthes in tyr me a vyn,"Kerdhes yn tir my a vynn,","Walk on land I will,",,,
line,628,ihesu arluth cuff colyn,"Yesu Arloedh, kuv kolonn,","618 May Lord Jesu, dear heart,",,,
line,629,the teller da rum gedya,"dhe dyller da re'm gedyo,","To a good place guide me,",,,
blank,,,,,,,
line,630,gorthya crist ker may hallen,"gordhya Krist ker may hallen,","That I may worship dear Christ,",,,
line,631,han werhes flour maria,"ha'n Wyrghes flour, Maria!","And Mary, the flower of maidens !",,,
blank,,,,,,,
line,632,Devethys off in tereth,"Devedhys ov yn tiredh,","632 I am come on land,",,,
line,633,ha squeth me yv ov kerthes,he skwith my yw ow kerdhes.,And weary am I walking.,,,
line,634,maria mam ha maghteth,"Maria, mamm ha maghteth,","Mary, mother and maiden,",,,
line,635,mara sus dis chy na plaes,maras eus dhis chi na plas,If thou hast a house or place,,,
line,636,oges oma,"ogas omma,","636 Near this,",,,
line,637,grua o gedya vy bys dy,"gwra ow gedya vy bys di,","Do guide me even unto it,",,,
line,638,rag mur y carsen defry,rag meur y karsen devri,For much I should like really,,,
line,639,guthel thymmo oratry,guthyl dhymmo oratri,To make me an oratory,,,
line,640,in herw#t# chy maria,yn herwydh chi Maria.,640 Near Mary's house.,,,
line,641,densa lowena dywhy,"Densa, lowena dhy'hwi!","Kind (sir) [Good man], joy to you !",,,
line,642,pan a chapel yv henna,Pana japel yw henna?,What chapel is that ?,,,
blank,,,,,,,
speaker,,DOMESTICUS 643,Domesticus,A HOUSEHOLD SLAVE.,,,
line,643,Me a leuer dys dyson,My a lever dhis dison.,I will tell thee at once.,,,
line,644,chapel maria cambron,"Chapel Maria Kammbronn,","644 Mary of Camborne's chapel,",,,
line,645,gelwys yv an keth chyna,gelwys yw an keth chi na.,That same house is called.,,,
line,646,a py le in govynnyth,A by le y'n govynnydh?,From what place dost thou ask it ?,,,
line,647,lauer henna dymo weyth,Lavar henna dhymmo hwath,"Say that to me yet,",,,
line,648,a cow#t# da,A goweth da.,648 O good fellow !,,,
blank,,,,,,,
speaker,,MEREADOCUS 649,Meriadocus,MERIASEK.,,,
line,649,A vreten sur then povma,A Vreten sur dhe'n pow ma,From Brittany surely to this country,,,
line,650,dresen mor me re dufa,dres an mor my re dheuva,"Over the sea I have come,",,,
line,651,del vynnas du ov desky,dell vynnas Dyw ow dyski.,As God teaching me willed.,,,
line,652,hag omma gul me a vyn,Hag omma gul my a vynn,"652 And here I will make,",,,
line,653,ryb chapel maria wyn,"ryb chapel Maria Wynn,","By blessed Mary's chapel,",,,
line,654,thym oratry,dhymm oratri.,For me an oratory.,,,
line,655,us dour omma in oges,Eus dowr omma yn ogas?,Is there water here at hand ?,,,
line,656,rag nefre nahen dewes,Rag nevra nahen diwes,656 For never other drink,,,
line,657,nynsa om ganov defry,nyns eus y'm ganow devri.,Shall go into my mouth surely.,,,
blank,,,,,,,
speaker,,DOMESTICUS 658,Domesticus,THE HOUSEHOLD SLAVE.,,,
line,658,Dour yv mur ascant oma,Dowr yw meur a skant omma.,Water is very scanty here.,,,
line,659,reys yv polge da alema,Res yw pols da alemma,Needful is it a good bit hence,,,
line,660,mones certen thy gerhes,mones sertan dh'y gyrghes.,660 To go certainly to fetch it.,,,
line,661,corff bo gvyn a cafen vy,"Kor'v bo gwin a kaffen vy,","Ale or wine if I could get,",,,
line,662,dour ny effsen eredy,"dowr ny evsen yredi,","Water I would not drink readily,",,,
line,663,na ny vye rag ov lees,na ny via rag ow les.,Nor would it be for my good.,,,
blank,,,,,,,
speaker,,MERIADOCUS 664,Meriadocus,MERIASEK.,,,
line,664,North yst then chapel omma,North-est dhe'n chapel omma,664 North-east of the chapel here,,,
line,665,me a vyn mos the guandra,"my a vynn mos dhe wandra,","I will go to wander,",,,
line,666,dour thymmo sur rag weles,dowr dhymmo sur rag hwilas.,Water for me surely to seek.,,,
stage,,Tranceat ad pratum,,[Let him go across to the meadow. ],,,
stage,,[genuflectit,,[He kneels. ],,,
line,667,Ihesu arluth me ath peys,"Yesu, Arloedh, my a'th pys,","Jesu, Lord, I beseech thee,",,,
line,668,ihesu gront dovyr a wur speys,"Yesu, gront dowr a verr spys,","668 Jesu, grant water in great abundance, [a short time]",,,
line,669,ihesu dymmo der the graes,"Yesu, dhymmo der dha ras","Jesu, to me through thy grace",,,
line,670,del russys kyns the moyseys,dell wrussys kyns dhe Moyses,As thou didst before for Moses,,,
line,671,an men cales,a'n men kales.,From the hard rock.,,,
blank,,,,,,,
stage,,[her ye wyll sprynggyth vp water,,[Here the well springeth up water. ],,,
speaker,,DOMESTICUS 672,Domesticus,THE HOUSEHOLD SLAVE.,,,
line,672,Densa benyges reby,"Densa, bennigys re bi,","671 Kind (sir) [Good man], blessed be thou,",,,
line,673,dovr oma ov try thynny,dowr omma ow tri dhyn ni,Bringing here to us water,,,
line,674,mar dek thagen confortya,mar deg dh'agan konfortya!,So fair to comfort us !,,,
line,675,kerys oys purguir gans du,"Kerys os pur wir gans Dyw,","Loved art thou right truly by God,",,,
line,676,prevys open oma yv,prevys open omma yw,676 It is clearly proven here,,,
line,677,the ragon in teller ma,dheragon y'n tyller ma.,Before us in this place.,,,
blank,,,,,,,
speaker,,HOMO FEBRICOSUS 678,Homo febricosus,A FEVER-PATIENT.,,,
line,678,A thu ellas pendrama,"A Dhyw, ellas, pandr' wrama?","O God, alas, what thing is it [shall I do] ?",,,
line,679,lader cleves thym yma,"Lader kleves dhymm yma,","A thief of a disease I have,",,,
line,680,a veth gelwys an seson,a vydh gelwys an seson.,680 Which is called the season.,,,
line,681,ganso me ambeth schorys,Ganso my a'm bydh shorys,With me I have marks [By it I have shivering fits],,,
line,682,pup deth nansyv lues mys,"pub dydh, nans yw lies mis.","Every day, now it is many months.",,,
line,683,rag peyn feynt yv ov colon,Rag payn faynt yw ow holonn.,For pain faint is my heart.,,,
blank,,,,,,,
speaker,,CONTRACTUS 684,Contractus,A CRIPPLE.,,,
line,684,Me yv efrethek heb fal,My yw evredhek heb fall --,684 I am maimed without fail —,,,
line,685,du thym asevya mal,Dyw dhymm assa via mall,God for me has raised a desire [God! How I should have a desire],,,
line,686,appeua marov an beys,a pena marow a'n bys!,If (only) I were dead from the world !,,,
line,687,yma tregys in cambron,Yma trygys yn Kammbronn,There is dwelling in Camborne,,,
line,688,den ov cul merclys dyson,den ow kul merklys dison.,688 A man working miracles at once.,,,
line,689,guel yv dyn moys dy us[kys],Gwell yw dhyn mos di uskis,Better is for us to go to him quickly,,,
line,690,hay besy a luen colon,ha'y bysi a leun golonn,And to beseech him with a full heart,,,
line,691,thynny ny guthel guereys,dhyn nini guthyl gweres.,To help us.,,,
stage,,trancit ad meriadocum,,[He goes across to Meriasek. ],,,
blank,,,,,,,
speaker,,HOMO FEBRICOSUS 692,Homo febricosus,THE FEVER-PATIENT.,,,
line,692,Lowene dys meriasek,"Lowena dhis, Meryasek!","692 Joy to thee, Meriasek !",,,
line,693,ny yv dev then bohosek,"Ni yw dew dhen voghosek,","We are two poor men,",,,
line,694,me grefijs gans an febyr,"my grevyes gans an fevyr,","I grieved with the fever,",,,
line,695,han keth den ma sur yv mans,ha'n keth den ma sur yw mans.,And this same man surely is maimed.,,,
line,696,na nyl susten na pegans,Naneyl sosten na pygans,696 Neither sustenance nor goods,,,
line,697,ny yllen dendyl the guir,ny yllyn dendil dhe wir.,Can we earn of a truth.,,,
line,698,grua gueres dynny dyblans,Gwra gweres dhyn ni diblans,Help us clearly,,,
line,699,rag kerense ihesu ker,rag kerensa Yesu ker.,For love of dear Jesu.,,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus <genuflectit,MERIASEK [kneels. ],,,
stage,,[genuflectit,,,,,
line,700,Ihesu arluth neff han beys,"Yesu, Arloedh nev ha'n bys","700 May Jesu, Lord of heaven and of the earth,",,,
line,701,yehes dywy re grontya,yeghes dhy'hwi re wronttyo!,Grant healing to you !,,,
line,702,ihesu arluth me ath peys,"Yesu, Arloedh, my a'th pys","Lord Jesu, I beseech thee",,,
line,703,lemmen sav an keth tusma,lemmyn saw an keth tus ma!,Now save this same folk !,,,
line,704,maria mam luen a rays,"Maria, mamm leun a ras","704 Mary Mother full of grace,",,,
line,705,peys theth vap arluth ragtha,pys dhe'th Vab Arloedh ragdha.,Beseech thy Son (the) Lord for them.,,,
line,706,maria mam ha guerhays,"Maria, mamm ha gwyrghes,","Mary Mother and Virgin,",,,
line,707,gueres ov pesy gena,"gweres, ow pysi gene'!","Help, beseeching with me !",,,
line,708,sevugh inban a tus vays,"Sevewgh yn-bann, a dus vas,","708 Rise ye up, O good folk,",,,
line,709,fetel omglowugh omma,fatel omglywowgh omma?,How do you feel yourselves here ?,,,
blank,,,,,,,
speaker,,CONTRACTUS 710,Contractus,THE CRIPPLE.,,,
line,710,Gorthyans the crist me yv sav,Gordhyans dhe Krist! My yw saw.,Worship to Christ ! I am whole.,,,
line,711,yagh yv ov corff ham garrov,Yagh yw ow horf ha'm garrow.,Healed are my body and my legs.,,,
line,712,kerthes heb greff me a yll,Kerdhes heb grev my a yll.,712 I can walk without grief.,,,
stage,,[finit,,,,,
speaker,,HOMO FEBRICOSUS 713,Homo febricosus,THE FEVER-PATIENT.,,,
line,713,ha me yv yagh the crist grays,Ha my yw yagh dhe Krist gras!,"And I am cured, thanks to Christ !",,,
line,714,meryasek wek luen a rays,"Meryasek hweg, leun a ras,","Meriasek, sweet, full of grace,",,,
line,715,fortyn du dotho ny fyl,fortun Dyw dhodho ny fyll.,God's fortune to him will not fail.,,,
